ra,dec,z
148.454023974555,-0.795927773894005,0.08940861
146.856762461021,-0.274066621712786,0.02196459
146.231848537983,0.0682256095120794,0.02160817
146.283027671232,0.0640483395094479,0.0215799
146.300865259767,0.0354782948125222,0.021758
147.897183210387,0.43473929828445,0.02063313
148.443619772042,0.494334686062161,0.02076184
40.2856904119424,-0.71495662825756,0.04028672
55.1108668441425,0.892602613955123,0.04054674
55.1236253006416,0.872487205618696,0.0406868
55.6506011003738,0.88780197691662,0.04028767
56.3389981358199,0.867872906812484,0.04000779
56.7813870157235,1.00034293803214,0.03984664
56.8721370568829,1.0398805936064,0.04014628
56.8938649925012,1.01286087976044,0.04007165
56.9773270571597,0.898402120197426,0.04008322
57.0887482672584,1.00131328843581,0.03979781
239.360635217239,-0.916689727240953,0.03969949
225.494355599868,-0.11431690926334,0.04019753
238.532149998846,-0.0959766671516452,0.04070121
239.514934679486,-0.124238866669572,0.04077013
198.088754896896,0.307899805662406,0.04045619
245.187391215095,0.349725587480174,0.09345763
237.87689968214,0.701514951462916,0.09346591
198.051997066322,-1.09512991349717,0.04086484
198.183679063753,-1.13403246374215,0.04052293
219.06928377172,-1.13121090236031,0.03977071
185.398564912912,-0.702891722887904,0.03995192
185.37413495631,-0.710766437665518,0.039817
228.424359827413,-0.779413909549205,0.04026579
244.570315887256,-0.757484308173265,0.09345017
184.468480542351,-0.362120821695429,0.04032281
198.036454277153,-0.239038613551582,0.0404517
198.071283651797,-0.294947015345206,0.04062444
225.240742577213,-0.411834735443841,0.04064145
225.250768517195,-0.208326404127064,0.04078309
227.063694142279,-0.220950153165802,0.09346975
239.023389655352,-0.349995541493945,0.04098138
243.805839211092,-0.264145028235734,0.09350555
183.973497678925,0.0816255816114345,0.04050813
197.686298001436,0.0320903555345344,0.04100105
197.74794494294,0.126959257621276,0.09347291
222.515513075137,0.0974945349766013,0.04034282
225.438501470675,0.00847934280811412,0.04093848
225.524896067323,0.115155488451795,0.04079574
225.454565405546,0.0565370485744039,0.04065491
232.252467423513,0.162918721311145,0.09344149
238.923956270409,0.153633139676875,0.09345034
239.114750959306,0.0592643930554707,0.03968028
239.14194212914,0.0522535337814882,0.0395749
240.396813768786,0.0587400439756899,0.0934734
222.489099894747,0.558296016437553,0.03983419
222.509032937897,0.578780566608052,0.04041696
222.535613287429,0.614590469494614,0.04044159
222.549578402854,0.543575298012662,0.03950118
222.558161808032,0.557515183998802,0.03979656
225.169930070037,0.479656817307294,0.04087759
225.801425381668,0.468648028510293,0.04064452
226.167571276008,0.60451770462172,0.04017343
226.138455900649,0.616784939217005,0.04040727
232.565223811862,0.51965474128948,0.09348191
212.934446353948,0.981263981582084,0.0934539
215.633385405033,0.845597446698132,0.04002188
226.570941342543,0.903416689903263,0.0934957
148.666898920115,-0.899090689932191,0.09342866
153.382431874067,-0.998763432896882,0.04055981
153.513217813478,-0.892922172081144,0.04087288
158.371095637444,-0.860411431236357,0.04044293
160.21360427121,-0.922022151847472,0.03984923
160.925488566705,-0.921761934720162,0.03971817
161.740891339265,-0.979873710242681,0.03981317
168.234305640224,-0.909841513179836,0.03961598
168.366490584397,-0.902642536367735,0.04097719
170.34183760406,-0.910095275241503,0.04013307
170.31569592106,-0.892965436182827,0.04032306
170.734354532311,-0.853271620414353,0.0400748
171.009847219621,-0.949405337024624,0.04018398
171.279306562381,-1.03734486877742,0.04017433
171.418619958304,-0.860792600229123,0.04026347
171.459372855959,-0.919421186347253,0.04093622
184.152128011732,-0.955946648645797,0.04008595
184.441494142973,-1.00875025532725,0.03975241
184.95109536832,-0.875445349257907,0.03960438
185.083790060713,-0.882013604832303,0.04023993
185.382023865745,-0.852697177202866,0.04024837
186.84381085956,-0.868945969546314,0.04054479
186.859476633712,-0.864566231948364,0.04050918
195.558844723751,-1.02673356398022,0.04065641
135.990014679064,-0.434177709237324,0.09350254
149.002589281471,-0.605730696945758,0.09351349
155.739721853909,-0.440122994650199,0.09346136
167.517483765735,-0.566521425003941,0.03963303
167.554728904107,-0.573534299833362,0.03989328
170.581223888178,-0.620875089044289,0.0401581
185.081734639713,-0.52423511045555,0.03951054
185.295440662422,-0.506979565873124,0.03961219
220.409679436031,-0.458194166516078,0.03959256
225.033458646523,-0.586392468460812,0.04036379
225.156585347941,-0.453117025857704,0.04076234
132.502564829728,-0.182305729131936,0.04052591
132.517008612575,-0.169726393614493,0.0408754
157.556757189661,-0.122568092668983,0.0935319
157.741756432013,-0.092597113652518,0.0935001
161.715233971775,-0.108551409276921,0.04001037
161.799830362826,-0.0712944306286926,0.04016168
168.270103102412,-0.0937478238768212,0.0395609
168.312900341616,-0.182950885905747,0.04013677
169.300859839487,-0.189299239539962,0.04006717
169.387078249515,-0.187498014984424,0.04033846
170.630274443744,-0.0171564671280056,0.04074237
171.416586039338,-0.0667997713719983,0.04012571
171.912248680071,-0.0456077881344227,0.04001609
172.126357193478,-0.121663216120206,0.03990258
172.865907919707,-0.097924466002871,0.04011256
172.994285424902,-0.0503264267119837,0.0398448
181.192873615627,-0.0153838673496739,0.04043046
182.231669976107,-0.0924889393570173,0.0404892
184.189220605464,-0.103487046492763,0.04027047
191.938826557748,-0.156157393329704,0.09351148
198.161436353791,-0.155936599170152,0.03985724
221.387177053433,-0.19267025838885,0.03989846
222.362086630569,-0.164204266928888,0.04098977
222.515790221714,-0.191364970550011,0.04060933
225.372777415197,-0.113302563556917,0.04078639
225.420100891492,-0.0149363439103687,0.04066654
232.593346879941,-0.0320986549824921,0.0397381
132.790812925694,0.253594921186667,0.04088035
147.905370928718,0.412108660205203,0.0935129
162.296913880078,0.379082726206168,0.04037981
162.299417828612,0.267767500955395,0.03976493
162.320810954905,0.329332554925446,0.04061377
162.319703160303,0.326521768072227,0.04026803
162.35164861906,0.231993376869656,0.03968886
162.525717889481,0.333248799031144,0.04032925
162.519520837101,0.351645263691117,0.03996889
162.547897173226,0.306910949386622,0.04049346
162.844586273313,0.262473811663659,0.04019351
167.798931573098,0.341460059214595,0.03957444
168.019717631294,0.267973920774817,0.03995889
171.06256222075,0.418881633026313,0.03966612
171.324644937919,0.35048936257019,0.04020492
182.016056907949,0.378797426298355,0.04060059
222.599635743118,0.348249038045042,0.03976773
232.729658455479,0.410811491076315,0.03970761
133.36082675906,0.832872097262046,0.04087704
133.406017747474,0.736020834861132,0.04094305
133.434065140777,0.803639905061159,0.03971278
147.728942398481,0.769706786727907,0.09342141
148.737842942112,0.633239382437064,0.09341974
162.490343351128,0.700819612392975,0.03970751
164.07116080133,0.677373393761119,0.0404985
164.845800163873,0.777598267770661,0.04028903
166.881681618645,0.783105812874105,0.03947056
166.875059514427,0.784246713883293,0.04008131
195.681387814909,0.663847185310556,0.04072757
215.348808389949,0.765086937945548,0.04018329
229.467923645506,0.79379525608617,0.03990503
156.468493978701,1.19256528791235,0.09348449
160.058748616991,1.05719292932103,0.09344357
164.323098413286,1.25698539350611,0.03956285
164.57352831092,1.14186484105362,0.03987951
164.824374773697,1.153473536349,0.03948564
165.007811541723,1.09599103759187,0.03966768
170.082819263159,1.1036404982476,0.04020718
170.649722573453,1.1162849720093,0.03967798
179.274744468174,1.1255200746254,0.03955185
186.082198394481,1.099859224076,0.03984521
188.031709087167,1.11298108979,0.09351015
215.867417143475,1.10208980971981,0.03963184
13.7433475356801,13.7258324471796,0.04028029
14.7845561778255,13.666511711487,0.040739
14.8138239252284,13.575944840763,0.04035956
